County,Property Address,Parcel ID,Auction Status,Auction Type,Case #,Parcel ID URL,Assessed Value,Opening Bid,Certificate #
Citrus,"4599 N TUMBLEWEED TRL, HERNANDO, 34442",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0025TD ,N/A,"$30,828.00","$4,637.72",21-4841
Citrus,"10410 E JOY LN, INVERNESS, 34450",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0032TD ,N/A,"$53,786.00","$2,020.38",21-4373
Citrus,"8207 W EMMA LN, CRYSTAL RIVER, 34428",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0034TD ,N/A,"$5,324.00","$1,888.41",18-6004
Citrus,"8178 W BAUMGARDNER LN, CRYSTAL RIVER, 34428",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0035TD ,N/A,"$5,960.00","$1,971.35",18-6836
Citrus,"6844 W GRANT ST, HOMOSASSA, 34448",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0036TD ,N/A,"$7,986.00","$2,209.99",18-7085
Citrus,"8236 N TINY LILY DR, CITRUS SPRINGS, 34434",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0037TD ,N/A,"$3,834.00","$3,237.45",19-1921
Citrus,"1321 W KENMORE DR, CITRUS SPRINGS, 34434",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0038TD ,N/A,"$3,872.00","$2,465.33",21-1840
Citrus,"10111 N RUTH TER, CITRUS SPRINGS, 34434",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0039TD ,N/A,"$3,146.00","$2,518.17",19-1606
Citrus,"8980 N BARBADOS WAY, CITRUS SPRINGS, 34433",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0040TD ,N/A,"$3,820.00","$4,401.25",19-2193
Citrus,"1431 E ODIN DR, CITRUS SPRINGS, 34434",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0041TD ,N/A,"$3,073.00","$2,647.60",18-3227
Citrus,"8614 N STERN WAY, CITRUS SPRINGS, 34434",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0042TD ,N/A,"$3,088.00","$2,705.47",21-1622
Citrus,"581 W FORTUNE LN, CITRUS SPRINGS, 34434",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0043TD ,N/A,"$3,678.00","$4,326.46",17-2771
Citrus,"7390 N IRELAND DR, CITRUS SPRINGS, 34434",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0044TD ,N/A,"$4,066.00","$2,142.55",19-2857
Citrus,"8001 N MALTESE DR, CITRUS SPRINGS, 34433",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0046TD ,N/A,"$3,485.00","$6,294.64",21-2102
Citrus,"7889 N MALTESE DR, CITRUS SPRINGS, 34433",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0047TD ,N/A,"$3,763.00","$3,246.09",19-2647
Citrus,"2082 W SWANSON DR, CITRUS SPRINGS, 34434",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0048TD ,N/A,"$3,409.00","$4,219.39",21-3043
Citrus,"7588 N MANVILLE RD, CITRUS SPRINGS, 34434",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0049TD ,N/A,"$2,862.00","$2,753.14",21-2342
Citrus,"6681 N DARLINGTON DR, CITRUS SPRINGS, 34434",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0050TD ,N/A,"$3,409.00","$2,565.17",21-2904
Citrus,"2177 W WAVECREST DR, CITRUS SPRINGS, 34434",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0052TD ,N/A,"$3,872.00","$4,451.37",19-2397
Citrus,"7143 N GLADSTONE DR, CITRUS SPRINGS, 34434",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0054TD ,N/A,"$3,678.00","$2,201.32",19-2798
Citrus,"1358 W RILEY DR, CITRUS SPRINGS, 34434",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0055TD ,N/A,"$2,608.00","$4,569.52",19-3738
Citrus,"1640 W CARY DR, CITRUS SPRINGS, 34434",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0056TD ,N/A,"$3,872.00","$4,530.70",19-2443
Citrus,"949 W GLENHAVEN DR, CITRUS SPRINGS, 34434",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0057TD ,N/A,"$3,678.00","$2,327.82",19-2781
Citrus,"7111 N GLADSTONE DR, CITRUS SPRINGS, 34434",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0058TD ,N/A,"$4,162.00","$2,414.56",19-2796
Citrus,"502 E ABEND DR, CITRUS SPRINGS, 34434",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0059TD ,N/A,"$2,928.00","$4,499.59",19-3403
Citrus,"11467 N KENNEY LOOP, CITRUS SPRINGS, 34433",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0060TD ,N/A,"$2,636.00","$2,305.84",17-3564
Citrus,"169 N EAST AVE, INVERNESS, 34453",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0062TD ,N/A,"$9,365.00","$3,323.64",16-0541
Citrus,"1047 E CLEVELAND ST, HERNANDO, 34442",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0063TD ,N/A,"$14,704.00","$2,728.91",18-6359
Citrus,"5128 S SOUTHLAND TER, INVERNESS, 34452",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0064TD ,N/A,"$6,389.00","$2,180.20",18-8571
Citrus,"1724 E IVYDALE DR, CITRUS SPRINGS, 34434",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0065TD ,N/A,"$3,037.00","$2,497.67",16-3902
Citrus,"17 HIGHWOOD PATH, HOMOSASSA, 34446",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0066TD ,N/A,"$6,655.00","$3,048.74",18-6823
Citrus,"6830 S JAY LEE PT, HOMOSASSA, 34446",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0067TD ,N/A,"$5,650.00","$1,989.69",18-9656
Citrus,"1320 W CARY DR, CITRUS SPRINGS, 34434",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0068TD ,N/A,"$3,872.00","$4,784.45",17-2417
Citrus,"1259 W HEDGEWOOD LN, CITRUS SPRINGS, 34434",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0069TD ,N/A,"$3,678.00","$2,136.18",17-2729
Citrus,"6632 N GLACIER TER, CITRUS SPRINGS, 34434",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0070TD ,N/A,"$3,727.00","$5,309.56",19-3032
Citrus,"8696 W FAUST LN, HOMOSASSA, 34448",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0071TD ,N/A,$496.00,"$1,394.60",21-5683
Citrus,"1278 W LORRAINE DR, CITRUS SPRINGS, 34434",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0073TD ,N/A,"$7,667.00","$2,999.80",18-4572
Citrus,"8438 W ELKHORN DR, HOMOSASSA, 34448",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0074TD ,N/A,"$2,360.00","$1,792.94",21-5694
Citrus,"6771 N CAPRI LOOP, HERNANDO, 34442",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0075TD ,N/A,"$3,709.00","$12,719.81",21-7364
Citrus,"2908 MONROE ST W, INVERNESS, 34453",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0076TD ,N/A,"$3,496.00","$1,519.25",21-4371
Citrus,"6345 W TANGERINE LN, CRYSTAL RIVER, 34429",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0077TD ,N/A,"$10,563.00","$3,791.78",16-11176
Citrus,"4132 S JODY PT, HOMOSASSA, 34446",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0078TD ,N/A,"$8,053.00","$3,202.22",16-10149
Citrus,"6105 N BEDSTROW BLVD, CITRUS SPRINGS, 34434",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0079TD ,N/A,"$7,615.00","$11,472.07",21-3664
Citrus,"6353 W COUNTRY CLUB DR, HOMOSASSA, 34448",N/A,05/08/2024 10:00 AM ET,TAXDEED, 2024-0080TD ,N/A,"$7,986.00","$1,726.44",21-5771
