County,Property Address,Auction Status,Case #,Auction Type,Case # Link,Parcel ID,Parcel ID Link,Assessed Value,Opening Bid,Final Judgment Amount,Certificate #,Tags
Bay,11347 FRONT BEACH 514,07/02/2024 10:00 AM CT,2024-4987TD,TAXDEED ,N/A,34800-421-000,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=34800-421-000,"$565,675.00","$25,016.55",N/A,4987,"Bay, TAXDEED "
Bay,21115 LAKEVIEW DR S,07/02/2024 10:00 AM CT,2024-5134TD,TAXDEED ,N/A,35370-640-000,https://qpublic.schneidercorp.com/application.aspx?AppID=834&LayerID=15170&PageTypeID=4&PageID=6825&Q=192963963&KeyValue=35370-640-000,"$525,129.00","$21,049.61",N/A,5134,"Bay, TAXDEED "
Clay,6013 FURMAN AVE,06/05/2024 09:30 AM ET,2024-0009TD,TAXDEED ,N/A,220823-003700-000-00,https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=4&PageID=6756&Q=172585046&KeyValue=220823-003700-000-00,"$10,450.00","$1,670.45",N/A,893/2021,"Clay, TAXDEED "
Clay,6039 HARVARD AVE,06/05/2024 09:30 AM ET,2024-0013TD,TAXDEED ,N/A,220823-003618-000-00,https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=4&PageID=6756&Q=172585046&KeyValue=220823-003618-000-00,"$3,025.00","$1,894.33",N/A,807/2017,"Clay, TAXDEED "
Clay,6056 FURMAN AVE,06/05/2024 09:30 AM ET,2024-0014TD,TAXDEED ,N/A,220823-004066-000-00,https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=4&PageID=6756&Q=172585046&KeyValue=220823-004066-000-00,"$3,025.00","$1,883.12",N/A,875/2017,"Clay, TAXDEED "
Clay,OFF SWAN LAKE,06/26/2024 09:30 AM ET,2024-0005TD,TAXDEED ,N/A,030923-021984-000-00,https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=4&PageID=6756&Q=172585046&KeyValue=030923-021984-000-00,"$12,000.00","$3,274.85",N/A,1085/2021,"Clay, TAXDEED "
Clay,6295 DRAKE AVE,06/26/2024 09:30 AM ET,2024-0008TD,TAXDEED ,N/A,210823-003106-000-00,https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=4&PageID=6756&Q=172585046&KeyValue=210823-003106-000-00,"$3,850.00","$1,958.89",N/A,726/2017,"Clay, TAXDEED "
Clay,7152 LEHIGH DR,06/26/2024 09:30 AM ET,2024-0011TD,TAXDEED ,N/A,220823-003683-000-00,https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=4&PageID=6756&Q=172585046&KeyValue=220823-003683-000-00,"$3,850.00","$2,107.48",N/A,821/2017,"Clay, TAXDEED "
Clay,7160 LEHIGH DR,06/26/2024 09:30 AM ET,2024-0012TD,TAXDEED ,N/A,220823-003685-000-00,https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=4&PageID=6756&Q=172585046&KeyValue=220823-003685-000-00,"$3,025.00","$1,739.89",N/A,822/2017,"Clay, TAXDEED "
Clay,0 MAGNOLIA ST,06/26/2024 09:30 AM ET,2024-0015TD,TAXDEED ,N/A,190823-022183-000-00,https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=4&PageID=6756&Q=172585046&KeyValue=190823-022183-000-00,"$1,000.00","$1,535.85",N/A,3710/2018,"Clay, TAXDEED "
Duval,1935 SILVER ST,06/12/2024 09:00 AM ET,2022-0572TD,TAXDEED ,N/A,071990-0000,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0719900000,"$153,253.00","$15,127.86",N/A,11515-2020,"Duval, TAXDEED "
Duval,14119 LITTLE FALLS CT,06/12/2024 09:00 AM ET,2022-0730TD,TAXDEED ,N/A,165279-1080,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=1652791080,"$149,332.00","$96,011.41",N/A,19931-2018,"Duval, TAXDEED "
Duval,RANCH RD,06/12/2024 09:00 AM ET,2024-1183TD,TAXDEED ,N/A,019355-0160,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0193550160,"$85,085.00","$12,293.39",N/A,03298-2020,"Duval, TAXDEED "
Duval,W MONCRIEF RD,06/12/2024 09:00 AM ET,2024-1184TD,TAXDEED ,N/A,027660-0000,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0276600000,"$5,384.00","$1,928.46",N/A,30032-2020,"Duval, TAXDEED "
Duval,W HICKORY CREEK BLVD,06/12/2024 09:00 AM ET,2024-1185TD,TAXDEED ,N/A,162224-0105,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=1622240105,$315.00,"$1,235.31",N/A,16018-2021,"Duval, TAXDEED "
Duval,OCEAN DR L,06/12/2024 09:00 AM ET,2024-1186TD,TAXDEED ,N/A,179332-0220,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=1793320220,"$5,000.00","$1,836.57",N/A,17301-2021,"Duval, TAXDEED "
Duval,1957 W 12TH ST,06/12/2024 09:00 AM ET,2024-1187TD,TAXDEED ,N/A,051606-0000,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0516060000,"$5,749.00","$1,774.63",N/A,09085-2020,"Duval, TAXDEED "
Duval,WASHINGTON AVE,06/12/2024 09:00 AM ET,2024-1189TD,TAXDEED ,N/A,037285-0000,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0372850000,"$8,883.00","$1,844.26",N/A,06362-2020,"Duval, TAXDEED "
Duval,CHARLES AVE,06/12/2024 09:00 AM ET,2024-1190TD,TAXDEED ,N/A,020897-0000,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0208970000,"$6,428.00","$1,734.73",N/A,03674-2020,"Duval, TAXDEED "
Duval,1865 EVERLEE RD,06/12/2024 09:00 AM ET,2024-1191TD,TAXDEED ,N/A,137087-0000,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=1370870000,"$182,710.00","$14,926.05",N/A,30153-2020,"Duval, TAXDEED "
Duval,923 W 12TH ST,07/17/2024 09:00 AM ET,2024-1167TD,TAXDEED ,N/A,053037-0000,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0530370000,"$3,426.00","$2,316.00",N/A,09384-2020,"Duval, TAXDEED "
Duval,W 11TH ST,07/17/2024 09:00 AM ET,2024-1168TD,TAXDEED ,N/A,053047-0000,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0530470000,"$3,597.00","$2,430.67",N/A,09388-2020,"Duval, TAXDEED "
Duval,DROAD ST,07/17/2024 09:00 AM ET,2024-1192TD,TAXDEED ,N/A,026335-0000,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0263350000,"$7,433.00","$1,500.23",N/A,03527-2021,"Duval, TAXDEED "
Duval,ORLANDO AVE,07/17/2024 09:00 AM ET,2024-1193TD,TAXDEED ,N/A,024447-0000,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0244470000,"$8,094.00","$1,596.75",N/A,03344-2021,"Duval, TAXDEED "
Duval,ORIOLE ST,07/17/2024 09:00 AM ET,2024-1194TD,TAXDEED ,N/A,024273-0000,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0242730000,"$7,586.00","$1,711.88",N/A,03306-2021,"Duval, TAXDEED "
Duval,5827 DOEBOY ST,07/17/2024 09:00 AM ET,2024-1195TD,TAXDEED ,N/A,023002-0000,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0230020000,"$5,350.00","$1,365.11",N/A,03187-2021,"Duval, TAXDEED "
Duval,2022 TAUNTON RD,07/17/2024 09:00 AM ET,2024-1200TD,TAXDEED ,N/A,135356-0000,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=1353560000,"$161,250.00","$12,870.96",N/A,16889-2022,"Duval, TAXDEED "
Duval,9418 EVESHAM RD,07/17/2024 09:00 AM ET,2024-1201TD,TAXDEED ,N/A,038851-0000,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0388510000,"$61,106.00","$6,052.46",N/A,04927-2022,"Duval, TAXDEED "
Duval,2331 W 10TH ST,07/17/2024 09:00 AM ET,2024-1202TD,TAXDEED ,N/A,047308-0010,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0473080010,"$67,598.00","$6,846.04",N/A,16770-2022,"Duval, TAXDEED "
Duval,745 CALVERT ST,07/17/2024 09:00 AM ET,2024-1205TD,TAXDEED ,N/A,031747-0000,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0317470000,"$34,661.00","$4,601.69",N/A,16724-2022,"Duval, TAXDEED "
Duval,5861 ST AUGUSTINE RD,07/17/2024 09:00 AM ET,2024-1207TD,TAXDEED ,N/A,147829-0000,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=1478290000,"$105,900.00","$9,276.74",N/A,16905-2022,"Duval, TAXDEED "
Duval,1832 COLBY AVE,07/17/2024 09:00 AM ET,2024-1208TD,TAXDEED ,N/A,042635-0000,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0426350000,"$61,157.00","$34,694.84",N/A,05529-2022,"Duval, TAXDEED "
Duval,8876 JOHNSON TER,07/17/2024 09:00 AM ET,2024-1209TD,TAXDEED ,N/A,002861-0090,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0028610090,"$274,205.00","$158,245.02",N/A,00488-2022,"Duval, TAXDEED "
Duval,W 1ST ST,07/17/2024 09:00 AM ET,2024-1210TD,TAXDEED ,N/A,107700-0000,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=1077000000,"$29,700.00","$1,742.31",N/A,11304-2022,"Duval, TAXDEED "
Duval,1705 RHETA ST,07/17/2024 09:00 AM ET,2024-1211TD,TAXDEED ,N/A,109632-0050,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=1096320050,"$38,188.00","$3,541.83",N/A,11561-2022,"Duval, TAXDEED "
Duval,3864 CEDAR POINT RD,07/17/2024 09:00 AM ET,2024-1212TD,TAXDEED ,N/A,106583-0040,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=1065830040,"$40,223.00","$4,254.08",N/A,11130-2022,"Duval, TAXDEED "
Duval,ADAMS AVE,07/17/2024 09:00 AM ET,2024-1213TD,TAXDEED ,N/A,037381-0010,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0373810010,"$65,462.00","$4,070.20",N/A,04760-2022,"Duval, TAXDEED "
Duval,1390 KINGS RD,07/17/2024 09:00 AM ET,2024-1215TD,TAXDEED ,N/A,075568-0000,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0755680000,"$63,767.00","$4,381.79",N/A,08805-2022,"Duval, TAXDEED "
Duval,1242 N MAIN ST,07/17/2024 09:00 AM ET,2024-1217TD,TAXDEED ,N/A,070810-0000,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0708100000,"$67,699.00","$5,428.67",N/A,08502-2022,"Duval, TAXDEED "
Duval,13753 CORAL DR,07/17/2024 09:00 AM ET,2024-1219TD,TAXDEED ,N/A,167301-0000,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=1673010000,"$16,887.00","$2,593.71",N/A,15790-2022,"Duval, TAXDEED "
Duval,4713 PORTSMOUTH AVE,07/17/2024 09:00 AM ET,2024-1220TD,TAXDEED ,N/A,037969-0000,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0379690000,"$80,086.00","$5,670.85",N/A,04834-2022,"Duval, TAXDEED "
Duval,7703 LEM TURNER RD,07/17/2024 09:00 AM ET,2024-1221TD,TAXDEED ,N/A,024226-0000,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0242260000,"$60,800.00","$5,000.95",N/A,03165-2022,"Duval, TAXDEED "
Duval,4781 LENOX AVE,07/17/2024 09:00 AM ET,2024-1223TD,TAXDEED ,N/A,060794-0000,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0607940000,"$72,361.00","$5,039.63",N/A,08008-2022,"Duval, TAXDEED "
Duval,846 CALVERT ST,07/17/2024 09:00 AM ET,2024-1224TD,TAXDEED ,N/A,031768-0000,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0317680000,"$63,203.00","$6,485.17",N/A,04176-2022,"Duval, TAXDEED "
Duval,15546 DEWANNA RD,07/17/2024 09:00 AM ET,2024-1225TD,TAXDEED ,N/A,019593-0050,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0195930050,"$72,700.00","$4,574.23",N/A,02478-2022,"Duval, TAXDEED "
Duval,5219 TIMUQUANA RD,07/17/2024 09:00 AM ET,2024-1228TD,TAXDEED ,N/A,103060-0000,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=1030600000,"$145,847.00","$9,166.88",N/A,10796-2022,"Duval, TAXDEED "
Duval,3521 DREW ST,07/17/2024 09:00 AM ET,2024-1231TD,TAXDEED ,N/A,070078-0000,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0700780000,"$90,087.00","$6,269.96",N/A,08459-2022,"Duval, TAXDEED "
Duval,1411 N 4TH ST,07/17/2024 09:00 AM ET,2024-1234TD,TAXDEED ,N/A,174687-0600,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=1746870600,"$287,380.00","$17,458.95",N/A,16378-2022,"Duval, TAXDEED "
Duval,718 OAKS FIELD RD G3-2,07/17/2024 09:00 AM ET,2024-1235TD,TAXDEED ,N/A,142483-0152,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=1424830152,"$65,000.00","$4,128.67",N/A,13692-2022,"Duval, TAXDEED "
Duval,515 E 3RD ST,07/17/2024 09:00 AM ET,2024-1236TD,TAXDEED ,N/A,072514-0000,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0725140000,"$139,405.00","$8,299.67",N/A,08669-2022,"Duval, TAXDEED "
Duval,8920 HARE AVE,07/17/2024 09:00 AM ET,2024-1238TD,TAXDEED ,N/A,143910-0010,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=1439100010,"$39,857.00","$4,224.85",N/A,13742-2022,"Duval, TAXDEED "
Duval,276 CRYSTAL ST,07/17/2024 09:00 AM ET,2024-1239TD,TAXDEED ,N/A,056245-0000,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0562450000,"$34,776.00","$2,673.58",N/A,07534-2022,"Duval, TAXDEED "
Duval,9232 NORFOLK BLVD,07/17/2024 09:00 AM ET,2024-1240TD,TAXDEED ,N/A,037976-0000,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0379760000,"$109,397.00","$7,418.72",N/A,04835-2022,"Duval, TAXDEED "
Duval,6403 LOBELIA ST,07/17/2024 09:00 AM ET,2024-1241TD,TAXDEED ,N/A,028387-0000,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0283870000,"$99,985.00","$8,768.63",N/A,03679-2022,"Duval, TAXDEED "
Alachua,1024 SW 60TH TER,06/04/2024 10:00 AM ET,TD 2024-030,TAXDEED ,N/A,06675-009-029,https://qpublic.schneidercorp.com/Application.aspx?AppID=1081&LayerID=26490&PageTypeID=4&PageID=10770&Q=320373606&KeyValue=06675-009-029,"$125,135.00","$17,758.19",N/A,2021-1627,"Alachua, TAXDEED "
Alachua,2234 NW 162ND ST,06/04/2024 10:00 AM ET,TD 2024-031,TAXDEED ,N/A,04238-005-000,https://qpublic.schneidercorp.com/Application.aspx?AppID=1081&LayerID=26490&PageTypeID=4&PageID=10770&Q=320373606&KeyValue=04238-005-000,"$257,219.00","$28,895.30",N/A,2021-800,"Alachua, TAXDEED "
